
Name,Ticker,"Sub-Sector","Market Cap","Close Price","% Price above 1M SMA","RSI Exponential – 14D","MACD Line 1 – Trend Indicator","ADX Rating – Trend Strength","PE Ratio"
Kirloskar Oil Engines Ltd,KIRLOSENG,"Industrial Machinery","4734.46857458594","336.6","8.0479113046921","58.1063472028188","17.380766940579","41.4587230909497","27.128515783783755"
Cochin Shipyard Ltd,COCHINSHIP,"Shipbuilding","8615.09311399875","670","5.2120336363819","59.1967414892217","32.9251776745712","46.8468373513758","15.276071200082894"
Finolex Industries Ltd,FINPIPE,"Building Products - Pipes","9816.93417795822","158","4.6666776483766","59.8497577587001","4.72187204278711","43.5061957912108","9.337633452824727"
Sundaram Clayton Ltd,SUNCLAYLTD,"Auto Parts","10924.9690365848","5327.55","3.4062847050931","57.617341410066","188.86001754615","48.2852563835433","24.787786533068942"
ICRA Ltd,ICRA,"Stock Exchanges & Ratings","4077.33773834545","4383.2","2.4139808769924","58.8004794882991","55.1259097685925","49.0148284370416","36.304316074663426"
Castrol India Ltd,CASTROLIND,"Commodity Chemicals","12846.564348775599","130.2","2.1880590559695","55.0736349605791","2.68551369714038","45.6136613428604","16.945962021363677"
Godfrey Phillips India Ltd,GODFRYPHLP,"FMCG - Tobacco","9052.611030851489","1817.65","2.0501712747558","51.4703586723703","98.1802035831754","72.7540082738014","20.665230860730226"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","50946.9214593222","564.5","1.5257892919517","48.8951814473519","18.2903579174614","49.3259169979636","8.855636829042355"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","171848.325073496","746.3","1.345323231608","56.0960063003483","14.424237694405","43.5197250257572","8.315912173892862"
Karur Vysya Bank Ltd,KARURVYSYA,"Private Banks","8180.08015751088","99.95","0.8407505116004","54.6418211771227","3.25906815339577","52.6979763902539","12.150137627197747"
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","15687.3574751308","2018","0.47661539946709996","49.1361649137354","28.8829355195157","40.6106214492475","40.70726178771262"
Best Agrolife Ltd,BESTAGRO,"Diversified Chemicals","3780.3653189544198","1641.85","0.40940196556880004","48.3577192246197","54.1842341188483","44.9008324155511","36.07907347732797"
