DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,2085.7,2103.65,2072.8,2079.8,2085,2084.8,2086.34,2199,1527.05,506068,1055831955.25,42681,GRASIM
2024-02-14,EQ,2054,2085,2027.5,2064.15,2076.75,2079.8,2057.57,2199,1527.05,605147,1245133643.2,40005,GRASIM
2024-02-13,EQ,2173.9,2173.9,2053.95,2147.35,2068.55,2064.15,2088,2199,1527.05,985312,2057335417.95,52336,GRASIM
2024-02-12,EQ,2175,2199,2138.1,2168.5,2140.05,2147.35,2171.2,2199,1527.05,1229133,2668697851.85,77570,GRASIM
2024-02-09,EQ,2057.25,2182,2046.9,2057.3,2179.05,2168.5,2131.53,2182.05,1527.05,2010089,4284561832.15,107624,GRASIM
2024-02-08,EQ,2123,2125,2048,2111.5,2070.05,2057.3,2077.6,2182.05,1527.05,1387156,2881960270.5,113067,GRASIM
2024-02-07,EQ,2079,2120,2063,2066,2115.2,2111.5,2100.52,2182.05,1527.05,1133609,2381173537.6,62758,GRASIM
2024-02-06,EQ,2082,2097.95,2061,2089.75,2063,2066,2078.97,2182.05,1527.05,581483,1208887936.7,42899,GRASIM
2024-02-05,EQ,2130.1,2147.3,2081,2139.45,2084,2089.75,2116.22,2182.05,1527.05,949717,2009814233.65,35494,GRASIM
2024-02-02,EQ,2147.95,2169.9,2130.5,2128.6,2133.05,2139.45,2148.59,2182.05,1527.05,330557,710233110.75,33316,GRASIM
2024-02-01,EQ,2175,2178.9,2111.45,2175,2118.35,2128.6,2138.07,2182.05,1527.05,638710,1365607463.15,63561,GRASIM
2024-01-31,EQ,2126.5,2182.05,2115.45,2126.15,2160,2175,2158.17,2182.05,1527.05,910709,1965463803.65,72552,GRASIM
2024-01-30,EQ,2115,2139,2106,2104.5,2124.15,2126.15,2125.24,2175,1527.05,852171,1811065197.95,51060,GRASIM
2024-01-29,EQ,2080,2125,2077.75,2076.5,2105,2104.5,2102.59,2175,1527.05,795647,1672921552.85,46876,GRASIM
2024-01-25,EQ,2079.95,2087.35,2052.15,2071.3,2087,2076.5,2072.64,2175,1527.05,467209,968355742.55,40098,GRASIM
2024-01-24,EQ,2069,2080.75,2016.55,2049.6,2080,2071.3,2053.87,2175,1527.05,604130,1240804994.8,64910,GRASIM
2024-01-23,EQ,2078.1,2086.4,2032.5,2081.2,2052.75,2049.6,2057.02,2175,1527.05,938057,1929602310.8,101790,GRASIM
2024-01-20,EQ,2095,2099.9,2070,2081.2,2089.95,2081.2,2079.43,2175,1527.05,131682,273823813.75,9442,GRASIM
2024-01-19,EQ,2056.45,2094,2052.35,2053.65,2091,2081.2,2073.67,2175,1527.05,456698,947039394.2,48168,GRASIM
2024-01-18,EQ,2067,2069,2036.2,2067.85,2065.95,2053.65,2054.28,2175,1527.05,877519,1802670390.1,93295,GRASIM
